#TSV
#============Begin of sheet============
@Sheet=History
生态ID	生态说明
1	"<b>分类</b>\n牙兽种。\n\n<b>生境范围</b>\n主要栖息在温暖气候下靠近水源，植物长势繁茂的地方。\n\n<b>生态位</b>\n植食类，不过性格异常好战，领地观念极强。对侵入自己活动区域的任何生物都会毫不留情地发动攻击。\n\n<b>适应性</b>\n拥有锋利的门牙和强劲的咬力，会咬断树木堵塞水源以建设自己的巢穴。\n\n<b>行为</b>\n憨态可掬的河狸兽看似温顺，实则拥有极强的攻击性，依靠硕大的躯体在压下时形成震地效果，能够令目标在短时间内晕眩，周遭的树木也会成为他的拿手武器。总之在面对这只巨大的河狸时，猎人必须要小心应付。"
2	"<b>分类</b>\n牙兽种，河狸兽亚种。\n\n<b>生境范围</b>\n居住在沙漠内，主食为仙人掌和沙棘。\n\n<b>生态位</b>\n沙狸兽性格孤僻，就像是独占财富一样地守着水源生活，经常利用自己在地下移动的特性，对接近的生物毫不留情地发动突袭，并且能够利用水和沙混合制造出一大片的泥泞土地。\n\n<b>适应性</b>\n利用强壮的前爪，沙狸兽能够在地下挖掘通道移动和筑巢，但是因为他们的体型特别巨大的关系，在活动区域往往会留下一些巨大的沙包，非常的醒目。\n\n<b>行为</b>\n相比河狸兽，沙狸兽的行动限制能力更强，刨出的土块击中目标时，会使目标进入泥人状态，无法行动。而他在刨土时，周边的泥地也会让猎人陷入减速状态。"
3	"<b>分类</b>\n牙兽种，河狸兽特异个体。\n\n<b>生境范围</b>\n目前仅在水源附近区域发现一例。\n\n<b>适应性</b>\n名为“战鬼”的特殊个体，以历战不息的战意登临族群顶端。"
4	"<b>分类</b>\n牙兽种。\n\n<b>生境范围</b>\n栖息在森丘、林地、沼泽、雪山等区域。\n\n<b>生态位</b>\n通常由种群中一头体积与力量都最为杰出的大型雄性担任领袖。野猪的性格非常粗暴，几乎没有他们不敢袭击的生物。\n\n<b>适应性</b>\n野猪王的生命力与力量都非常强劲，背负着保卫族群的义务。引以为傲的两根门牙通常长度不一，这并非天生，而是由生活习性导致。每只野猪在挖掘土里的食物时都惯用一侧牙齿，惯用的一边牙齿因磨损变短。至于另一边的长牙，不仅能显示自己的威风，也是同族之间战斗的武器。\n\n<b>行为</b>\n野猪王主要的作战方式就是盲目地向前猛冲，在撞到什么以前绝对不会停下。\n虽然不难预测轨迹而躲避，当复数野猪一起发动这种冲锋时，对猎人来说也是非常危险的，特别是野猪中的“王”，其坚硬的牙齿加上战车般的体重和加速度，一旦发起冲锋就连数人才能合围的巨树也会被撞断。"
5	"<b>分类</b>\n牙兽种。\n\n<b>生境范围</b>\n常见于温暖地区的怪物。习性非常的好斗和贪吃，依靠蛮力抢夺食物或者单纯宣泄暴力地攻击其他生物的报告屡见不鲜。\n\n<b>生态位</b>\n桃毛兽王嗜食“瓦斯蘑菇”，大量食用后就会在剧烈运动时放出恶臭的屁，经常依靠这种臭气熏天的战斗方式抢占其他生物的地盘。\n\n<b>适应性</b>\n桃毛兽群由一名体型特别巨大的“王”所领导，作为桃毛兽王的招牌就是头上那撮显眼的艳丽毛发，是以植物汁液和自己的利爪专心梳理而成的，桃毛兽中领袖的证明。一只桃毛兽如果擅自梳理出这样的发型就是对自己群落老大的挑衅，往往会引发一场恶斗。\n\n<b>行为</b>\n当桃毛兽王感到威胁时，会选择叫喊或是直立晃动身体，以恐吓对手。如果敌人因为害怕逃走时，他们就会采取跳跃攻击。最令人感到恐惧的还是他们的恶臭气味，将自己腹内积蓄的食物之精华化作可怕的黄色气体放出，不管是从前方还是后方放出的——不甚吸入后都会全身不适。因此，对阵桃毛兽王，必须携带消臭玉已然成为猎人中的基本常识。"
6	"<b>分类</b>\n牙兽种，桃毛兽独行种。\n\n<b>生境范围</b>\n首次目击记录来自艾丝特湖地，由一位名叫“琳蒂丝”的学者发现。\n\n<b>生态位</b>\n被认为是离群索居，独自挑战各个聚落领袖的孤高首领。但是也有人认为他只是因为食量太庞大，性格太暴躁而没有追随者的孤独头目罢了。\n\n<b>适应性</b>\n由于长期摄入特殊的菇类，金毛兽王远比桃毛兽王要强壮，也凶暴得多。他们拥有强大的消化系统，不管吃下什么东西都能在数秒内完全吸收，如果吃下剧毒或带有特定属性的食物，则能够立即喷出该特性的气体。\n\n<b>行为</b>\n金毛兽王身上经常围绕着足以令人绝倒的强烈恶臭，战斗状态下，会抓起固态排泄物砸向对手。据受害的猎人描述，那是“屏住呼吸也无济于事”的可怕恶臭，被击中时会发生比受伤更糟糕的状况。狩猎难度不可同日而语。"
7	"<b>分类</b>\n牙兽种。\n\n<b>生境范围</b>\n在伊鲁法雪山地区大量栖息，肉食性的凶猛群居怪物。\n\n<b>生态位</b>\n在牙兽种之中，雪狮子被视为具有最强的协同性和群居本能，特别是领袖的威望尤其深厚，并且族群之中似乎存在某种“亲族”的纽带，这使得雪狮子之间具有类似“羁绊”的关系，同族极少发生血战，若是同时存在复数的强大雪狮子，其会根据实力进行排行，共同统治与守护族群。据说，整个伊鲁法雪山地区虽然具有多个雪狮子群落，但所有聚群都具有一个统一的“大头领”，当地的人们敬畏地称呼其“白王”。\n\n<b>适应性</b>\n雪狮子不仅能在雪地上敏捷地跳跃，而且能够潜入厚雪中并自由移动。覆盖全身长毛具有相当的硬度，不仅能够保暖，一定程度上能起到铠甲的作用，这也使得他们成为当之无愧的雪山强者。作为族群中的王者，他那硕大的体格和气派的胡须都显示出领袖的威严，那两根无法收入口中的巨大牙齿就是王者的象征，失去了牙齿就等于失去了王的地位。而获得这两根牙齿的猎人，则能够成就英雄的美名。\n\n<b>行为</b>\n雪狮子不仅具有牙兽种典型的强劲力量，头脑也非常聪明，懂得利用雪原的环境来伏击被他们认为“强大”的猎人。有足够的事例证明，雪狮子王会组织种群捕获猎物，雪狮子们向敌人投掷雪球、躲开攻击等动作，让他们看起来简直就像经过严格操练的士兵。"
8	"<b>分类</b>\n牙兽种，雪狮子独行种。\n\n<b>生境范围</b>\n与原种雪狮子不同的是，炎狮子活跃于火山的炎热地带，并逐渐在适应酷热环境的生活中，练就了使用熔岩强化身体的能力，性格也由于环境而更为狂暴。\n\n<b>生态位</b>\n火山中的掠食者。起初，观测者们根据外形判断，认为炎狮子类同于雪狮子，会组成具有一定规模的部落群居生活，然而经过多次狩猎和目击报告显示，炎狮子在繁殖期外更倾向于单独行动，因此大多数研究者更希望将其定为独行种。\n\n<b>适应性</b>\n作为牙兽种的炎狮子，却能够在炽热的岩浆中自由穿行，这对于生态爱好者们来说，一直是一个奇妙的课题。有研究宣称，炎狮子的身体表面附着了一层透明的脂类，能够将毛皮与高温完全隔绝，起到保护的作用。也许炎狮子那一身火红色的毛发，并不像我们想象中的那样柔软。随着火山区域的狩猎解禁，猎人们遭遇炎狮子的机会增多，有望早日揭开这一谜团。\n\n<b>行为</b>\n炎狮子的攻击迅速而疯狂。在战斗中，炎狮子会使用强健的腿部快速跃起接近目标，也会活用地形在岩浆中行动。\n炎狮子的招牌战斗方式，是将熔岩附着前爪上形成坚硬而高热的熔岩拳甲。该拳甲既可以有效抵挡猎人的攻击，又可以有效增加攻击的力道和热度，还可以在需要的时候甩出去，在与其对峙时要尤其注意。"
9	"<b>分类</b>\n牙兽种。\n\n<b>生境范围</b>\n首次的目击记录来自喧嚣群岭，学士们根据雪地上留下的爪印判定为未知的巨型牙兽种。\n\n<b>生态位</b>\n剑极狼是雪域的独居生物，同一区域内很少看见第二只。人类一旦与之遭遇，生还率非常低。有趣的是，剑极狼似乎并不喜欢狩猎过于弱小的生物。迄今为止，已经收到数量可观的剑极狼与雪山鹿或是猛犸和谐相处的目击报告。甚至有学者认为，剑极狼在为这些食草种提供保护。但是更主流的观点是，身处雪原生态链顶端的剑极狼，并不缺乏食物来源，因此不会选择孱弱的对手或是腐肉。对他们来说，更倾向狩猎活力充盈的猎物。\n\n<b>适应性</b>\n剑极狼的骨骼结构相当特殊，背部与肘部生长的骨刺锋利无比，一旦受损还可迅速再生。其凶猛暴烈的攻击方式，与耐心观察猎物的谨慎个性相结合，被誉为极地的“武斗宗师”。\n\n<b>行为</b>\n剑极狼的体型巨大却不笨重，攻击速率很高，力道也比普通牙兽种更为刚猛。背部射出的犹如剑刃一般的骨刺，由于剑极狼强大的愈合力，能够短时间内快速复原，是所有猎人的噩梦。"
10	"<b>分类</b>\n牙兽种，剑极狼亚种。\n\n<b>生境范围</b>\n森丘、林地、沼泽均有目击记录。\n\n<b>生态位</b>\n尽管在学者们的记录中，剑刹狼被标记为新发现的剑极狼亚种，但其形象早已在于传说和诗歌等文学作品中流传上百年。林地附近的土著居民很早就有绘制与剑刹狼毛色相近的面具，在他们的文化中，剑刹狼犹如神怪，代表着难以想象的怪力和神通，也享受着人类的供奉。也正是由于这种过度的描绘，剑刹狼曾被认为只是人类用想象加工出来的怪物，实际并不存在。\n\n<b>适应性</b>\n随着近些年探究领域的不断扩大，书士队终于获得了这一传说中牙兽种的目击报告。剑刹狼的外形与传说中描绘的神怪惊人相似，被母亲们用来恐吓不听话的孩童的可怕吼叫也如出一辙。与原种类似，剑刹狼的背部也拥有可快速再生的骨刺，这些骨刺有鳞化的趋势，且带有某种神经毒素。人类接触后普遍会产生中毒症状，随着毒性的深入则会发生麻痹，对身体失去控制，完全置于剑刹狼制造的恐惧之下。\n有趣的是，即使是残留在地面的骨刺也保有毒性效果，虽然毒性会渐渐消退，也会困住误入其中的小型动物。人们常于此后获得食物，将剑刹狼作为神明崇拜也不足为奇了。当然，动物尸体是需要经过去毒处理的，有不明就里的村民由于误食而麻痹了几天的事例也偶有发生。\n\n<b>行为</b>\n剑刹狼的背部骨刺拥有了毒性和麻痹效果，对比原种其坚硬度有所减弱，危险性反而大幅提升。剑刹狼的攻击方式同样残暴凶猛，有光线较弱的森林作为遮蔽，剑刹狼更倾向伏击的策略，一旦行动定一击必杀。"
