#TSV
#============Begin of sheet============
@Sheet=LevelInfo
LevelID	BGType	MapID	LevelMode	LevelName	UIShowLevelTarget	ShowMonsterName	ShowMonsterID	UIDropList	DailyFirstUIDropList	UIWarningDropList	UIEntrustNpc	LevelDesc	Difficulty	LevelLv	MonsterLv	IsStarHunt	关联活动ID	解锁类型	基本解锁条件类别	基本解锁条件参数	额外解锁条件1类别	额外解锁条件1参数1	额外解锁条件1参数2	额外解锁条件2类别	额外解锁条件2参数1	额外解锁条件2参数2	需求等级类别	需求等级参数	消耗狩猎券	支付契约金	额外需求条件类别	需求条件参数1	需求条件参数2	允许匹配的武器等级	允许匹配的防具等级总和	HunterBox	MonsterOverView	FinishCountDown	InitScore	BossID	WeatherID	QuestMode	逻辑关卡组ID	逻辑关卡组Name	monsterlevel_rule	BOSS_match	BOSS_攻击系数	BOSS_属性攻击系数	BOSS_HP系数	BOSS_等级浮动	小怪_match	小怪_攻击系数	小怪_属性攻击系数	小怪_HP系数	小怪_等级浮动	BossPBMul	BossLBMul	BossFDMul	BOSS多人因子开关	小怪多人因子开关	BossPoisonMul	BossParalysisMul	BossSleepMul	BossDynamiteMul	BossStunMul	BossPoisonOpen	BossParalysisOpen	BossSleepOpen	BossDynamiteisOpen	BossStunOpen	OffcerLv	OffcierHR	WarningGroupID	EnableLemonSystem	DisableCatFood	EnableSoulStone	BigRandLvMin	BigRandLvMax	BigRandWeaponLvMin	BigRandWeaponLvMax	BigRandArmorLvMin	BigRandArmorLvMax	WeaponLimit	狩猎包开关	解锁等级	需求玩家等级
100101	1	1001	1	试炼！河狸兽	狩猎河狸兽	河狸兽	60010	21113;21086;21454;19998;1587		1587		在河川上筑堤控制水脉的巨大牙兽种，对侵入领地者攻击性很强。	1	10	10	1		1	需求人物等级	10							需求人物等级	10	1								1000	60		60010	101	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	20	0					20	40	20	40	50	200		10883		
100102	1	1001	1	挑战！河狸兽	狩猎河狸兽	河狸兽	60010	21114;21087;21454;19998;1587		1587		在河川上筑堤控制水脉的巨大牙兽种，对侵入领地者攻击性很强。	2	80	80			1	需求人物等级	80							需求人物等级	80	1					70	325			60		60010	101	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4001				90	110	90	110	400	550		10884		
100103	1	1001	15	变身！不思议之狸	狩猎极限态河狸兽	极限态河狸兽	60015	2575;2667;21454			灵魂歌者	我和那位‘战鬼’河狸有着很深的渊源，最近听说他在丛林再次现身。这次除了血迹一般的赤红之外，还多了一种诡异的黑雾。村民间一直流传着狸变身的说法，但如果是‘战鬼’的话，应该会异常凶险才对吧！猫车之前，记得帮我把问候带到哦。	3	40	55			1			猎人星级卡片解锁	15056					需求人物等级	40	2									60		60015	101	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100104	1	1001	26	精英！战鬼河狸兽	狩猎战鬼河狸兽	战鬼河狸兽	60012	19995;21454;21451;19998;1587		1587		在河川上筑堤控制水脉的巨大牙兽种，对侵入领地者攻击性很强。	2	40	55			1	需求人物等级	40							需求人物等级	40	2					40	175			60		60012	101	26			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0	4001				50	70	50	70	200	350				
100105	1	1001	1	挑战！战鬼河狸兽	狩猎战鬼河狸兽	战鬼河狸兽	60012	21114;21087;21454;19998;1587		1587		在河川上筑堤控制水脉的巨大牙兽种，对侵入领地者攻击性很强。	1	85	85			1	需求人物等级	85							需求人物等级	85	1					75	350			60		60012	102	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	95	47	4001				95	115	95	115	425	575		10885		
100106	1	1001	1	挑战！战鬼河狸兽	狩猎战鬼河狸兽	战鬼河狸兽	60012	21115;21118;19995;19998;21454;21451		1587		在河川上筑堤控制水脉的巨大牙兽种，对侵入领地者攻击性很强。	2	40	55			1	需求人物等级	40							需求人物等级	40	1					40	175			60		60012	102	1	100105	任意！战鬼河狸兽	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0	4001				50	70	50	70	200	350				
100107	1	1001	46	奇烈！河狸兽	狩猎河狸兽	河狸兽	60010	21478			西撒	河狸兽受到了不明辐射产生了变异，变得比原来更加强大更可怕了。	3	90	95			1	需求人物等级	90							需求人物等级	90						90	425			20		60010	101	46			0	1	1.2	1.2	2	0	1	1	2	1	0	1.5	1.5	1.5	1	0	0	0	0	0	0	1	1	1	1	1	100	50		1			100	120	100	120	450	600				
100111	1	1001	1	试炼！蓝速龙王	狩猎蓝速龙王	蓝速龙王	60020	21113;21086;21454;19998;1587		1587		带着一群部下擅长围攻战术的鸟龙种，在速龙中属于最常见的。	1	1	1	1		1	需求人物等级	1							需求人物等级	1	1									60		60020	102	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	11	0					11	31	11	31	5	155		10886		
100112	1	1001	1	挑战！蓝速龙王	狩猎蓝速龙王	蓝速龙王	60020	21114;21087;21454;19998;1587		1587		带着一群部下擅长围攻战术的鸟龙种，在速龙中属于最常见的。	2	80	80			1	需求人物等级	80							需求人物等级	80	1					70	325			60		60020	102	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4001				90	110	90	110	400	550		10887		
100113	1	1001	15	极限！蓝速龙王	狩猎蓝速龙王	蓝速龙王	60020					带着一群部下擅长围攻战术的鸟龙种，在速龙中属于最常见的。	3	40	40												需求人物等级	9999										60		60020	102	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
